hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_day_of_month
Resort Hotel,0,342,2015,July,1
Resort Hotel,0,737,2015,July,1
Resort Hotel,0,7,2015,July,1
Resort Hotel,0,13,2015,July,1
Resort Hotel,0,14,2015,July,1
Resort Hotel,0,14,2015,July,1
Resort Hotel,0,0,2015,July,1
Resort Hotel,0,9,2015,July,1
Resort Hotel,1,85,2015,July,1
Resort Hotel,1,75,2015,July,1
Resort Hotel,1,23,2015,July,1
Resort Hotel,0,35,2015,July,1
Resort Hotel,0,68,2015,July,1
Resort Hotel,0,18,2015,July,1
Resort Hotel,0,37,2015,July,1
Resort Hotel,0,68,2015,July,1
Resort Hotel,0,37,2015,July,1
Resort Hotel,0,12,2015,July,1
Resort Hotel,0,0,2015,July,1
Resort Hotel,0,7,2015,July,1
Resort Hotel,0,37,2015,July,1
Resort Hotel,0,72,2015,July,1
Resort Hotel,0,72,2015,July,1
Resort Hotel,0,72,2015,July,1
Resort Hotel,0,127,2015,July,1
Resort Hotel,0,78,2015,July,1
Resort Hotel,0,48,2015,July,1
Resort Hotel,1,60,2015,July,1
Resort Hotel,0,77,2015,July,1
Resort Hotel,0,99,2015,July,1
Resort Hotel,0,118,2015,July,1
Resort Hotel,0,95,2015,July,1
Resort Hotel,1,96,2015,July,1
Resort Hotel,0,69,2015,July,2
Resort Hotel,1,45,2015,July,2
Resort Hotel,1,40,2015,July,2
Resort Hotel,0,15,2015,July,2
Resort Hotel,0,36,2015,July,2
Resort Hotel,1,43,2015,July,2
Resort Hotel,0,70,2015,July,2
Resort Hotel,1,45,2015,July,2
Resort Hotel,0,45,2015,July,2
Resort Hotel,0,16,2015,July,2
Resort Hotel,0,70,2015,July,2
Resort Hotel,0,107,2015,July,2
Resort Hotel,1,47,2015,July,2
Resort Hotel,0,96,2015,July,2
Resort Hotel,0,113,2015,July,2
Resort Hotel,0,90,2015,July,2
Resort Hotel,0,50,2015,July,2
Resort Hotel,0,113,2015,July,2
Resort Hotel,0,93,2015,July,2
Resort Hotel,0,76,2015,July,2
Resort Hotel,0,3,2015,July,2
Resort Hotel,0,1,2015,July,2
Resort Hotel,0,1,2015,July,2
Resort Hotel,0,0,2015,July,2
Resort Hotel,0,0,2015,July,2
Resort Hotel,0,0,2015,July,2
Resort Hotel,0,14,2015,July,2
Resort Hotel,0,10,2015,July,2
Resort Hotel,0,5,2015,July,2
Resort Hotel,0,17,2015,July,2
Resort Hotel,0,93,2015,July,2
Resort Hotel,1,3,2015,July,2
Resort Hotel,0,10,2015,July,3
